PeerId,Quarter,Name,Parent,CertNum,City,State,CnI_CO,OwnOcc_CO,FarmLand_CO,FarmLoans_CO,LoanstoDepInst_CO,OtherLoans_CO,LeaseFinancingRec_CO,CREMultifamily_CO,CRE_Total_CO,CRENFNR_CO,Construction_CO,Residential_CO,MortgageHELOC_CO,Mortgage1stLien_CO,MortgageJuniorLien_CO,Consumer_CO,CreditCard_CO,CnI_REC,OwnOcc_REC,FarmLand_REC,FarmLoans_REC,LoanstoDepInst_REC,OtherLoans_REC,LeaseFinancingRec_REC,CREMultifamily_REC,CRE_Total_REC,CRENFNR_REC,Construction_REC,Residential_REC,MortgageHELOC_REC,Mortgage1stLien_REC,MortgageJuniorLien_REC,Consumer_REC,CreditCard_REC,CnI_NLL,OwnOcc_NLL,FarmLand_NLL,FarmLoans_NLL,LoanstoDepInst_NLL,OtherLoans_NLL,LeaseFinancingRec_NLL,PoliticalLoans_NLL,CREMultifamily_NLL,CRE_Total_NLL,CRENFNR_NLL,Construction_NLL,Residential_NLL,MortgageHELOC_NLL,Mortgage1stLien_NLL,MortgageJuniorLien_NLL,Consumer_NLL,CreditCard_NLL
-12,1990Q1,BancorpSouth Bank,Cadence Bank,11813,Tupelo,MS,12,NA,NA,141,0,0,49,NA,NA,NA,NA,NA,NA,NA,NA,731,NA,20,NA,NA,27,0,0,47,NA,NA,NA,NA,NA,NA,NA,NA,157,NA,206187,NA,9787,5620,182,101348,22331,8682,3101,65944,NA,32623,179115,14188,NA,NA,322891,NA
-12,1990Q2,BancorpSouth Bank,Cadence Bank,11813,Tupelo,MS,91,NA,NA,0,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,91,NA,NA,19,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,204070,NA,11181,6648,165,110627,23168,8393,2619,68295,NA,37476,186725,14383,NA,NA,322464,NA
-12,1990Q3,BancorpSouth Bank,Cadence Bank,11813,Tupelo,MS,142,NA,NA,34,0,0,124,NA,NA,NA,NA,NA,NA,NA,NA,708,NA,46,NA,NA,3,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,202,NA,203532,NA,12033,7508,136,115695,26354,7579,2377,67174,NA,40247,185088,14701,NA,NA,331432,NA
-12,1990Q4,BancorpSouth Bank,Cadence Bank,11813,Tupelo,MS,50,NA,NA,0,0,0,78,NA,NA,NA,NA,NA,NA,NA,NA,686,NA,104,NA,NA,17,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,206472,NA,12263,6207,127,119052,33244,7181,2541,68211,NA,41470,194893,14678,NA,NA,327522,NA
-12,1991Q1,BancorpSouth Bank,Cadence Bank,11813,Tupelo,MS,235,NA,0,5,0,0,75,0,0,NA,17,360,0,NA,NA,956,NA,34,NA,0,9,0,0,4,0,0,NA,0,15,0,NA,NA,178,NA,253350,NA,14464,9567,5248,6565,28326,6855,6127,92279,NA,42332,218158,14806,181964,21388,337378,NA
-12,1991Q2,BancorpSouth Bank,Cadence Bank,11813,Tupelo,MS,246,NA,0,0,0,0,21,0,0,NA,0,414,0,NA,NA,1102,NA,0,NA,0,0,0,0,19,0,0,NA,0,143,0,NA,NA,207,NA,262111,NA,14070,10199,3797,9377,30416,7052,7193,91175,NA,46599,236389,15089,199216,22084,335994,NA
-12,1991Q3,BancorpSouth Bank,Cadence Bank,11813,Tupelo,MS,347,NA,0,25,0,0,36,0,0,NA,148,583,0,NA,NA,733,NA,16,NA,0,5,0,0,11,0,0,NA,0,101,0,NA,NA,204,NA,253530,NA,13492,11216,750,9683,33423,6935,7724,94599,NA,50563,239855,14930,202082,22843,343152,NA
-12,1991Q4,BancorpSouth Bank,Cadence Bank,11813,Tupelo,MS,67,NA,0,39,0,0,37,0,0,NA,0,311,0,NA,NA,999,NA,47,NA,0,8,0,0,14,0,0,NA,0,25,0,NA,NA,226,NA,264262,NA,12881,9294,744,9162,37530,7573,7408,95251,NA,53931,245316,14964,207055,23297,350824,NA
-12,1992Q1,BancorpSouth Bank,Cadence Bank,11813,Tupelo,MS,34,NA,0,0,0,0,20,50,26,NA,0,307,0,NA,NA,1358,NA,22,NA,0,14,0,0,22,0,0,NA,0,89,0,NA,NA,198,NA,265433,NA,13371,9948,461,10044,38338,7066,7797,99530,NA,54527,276230,14611,237639,23980,348163,NA
-12,1992Q2,BancorpSouth Bank,Cadence Bank,11813,Tupelo,MS,29,NA,0,9,0,0,13,14,0,NA,0,407,0,NA,NA,941,NA,9,NA,0,0,0,0,32,0,0,NA,0,9,0,NA,NA,246,NA,280822,NA,12772,10950,602,10982,40891,6721,8244,97490,NA,57840,246900,15714,206452,24734,351837,NA
