PeerId,Quarter,Name,Parent,CertNum,City,State,CnI_CO,OwnOcc_CO,FarmLand_CO,FarmLoans_CO,LoanstoDepInst_CO,OtherLoans_CO,LeaseFinancingRec_CO,CREMultifamily_CO,CRE_Total_CO,CRENFNR_CO,Construction_CO,Residential_CO,MortgageHELOC_CO,Mortgage1stLien_CO,MortgageJuniorLien_CO,Consumer_CO,CreditCard_CO,CnI_REC,OwnOcc_REC,FarmLand_REC,FarmLoans_REC,LoanstoDepInst_REC,OtherLoans_REC,LeaseFinancingRec_REC,CREMultifamily_REC,CRE_Total_REC,CRENFNR_REC,Construction_REC,Residential_REC,MortgageHELOC_REC,Mortgage1stLien_REC,MortgageJuniorLien_REC,Consumer_REC,CreditCard_REC,CnI_NLL,OwnOcc_NLL,FarmLand_NLL,FarmLoans_NLL,LoanstoDepInst_NLL,OtherLoans_NLL,LeaseFinancingRec_NLL,PoliticalLoans_NLL,CREMultifamily_NLL,CRE_Total_NLL,CRENFNR_NLL,Construction_NLL,Residential_NLL,MortgageHELOC_NLL,Mortgage1stLien_NLL,MortgageJuniorLien_NLL,Consumer_NLL,CreditCard_NLL
1,1990Q1,Comerica Bank,Comerica Incorporated,983,Dallas,TX,4397,NA,NA,0,18910,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4332,NA,341,NA,NA,98,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1200,NA,2547838,NA,750,6545,14590,320389,261,60294,24488,707933,NA,124549,1085769,252913,NA,NA,1479135,NA
1,1990Q2,Comerica Bank,Comerica Incorporated,983,Dallas,TX,5494,NA,NA,1239,170,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3820,NA,1260,NA,NA,2049,9,2,0,NA,NA,NA,NA,NA,NA,NA,NA,1170,NA,2606269,NA,743,5548,14250,389486,261,59371,24729,731887,NA,100199,1151819,283649,NA,NA,1493212,NA
1,1990Q3,Comerica Bank,Comerica Incorporated,983,Dallas,TX,7131,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4324,NA,2450,NA,NA,40,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1382,NA,2477811,NA,655,5240,14323,372737,257,56417,24452,746750,NA,104441,1202814,311504,NA,NA,1509662,NA
1,1990Q4,Comerica Bank,Comerica Incorporated,983,Dallas,TX,3666,NA,NA,0,346,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4687,NA,1438,NA,NA,146,62,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1036,NA,2620578,NA,625,4251,9706,375940,257,54128,13588,703296,NA,156068,1240722,328894,NA,NA,1793260,NA
1,1991Q1,Comerica Bank,Comerica Incorporated,983,Dallas,TX,2526,NA,0,0,500,0,0,0,750,NA,0,619,0,NA,NA,5421,NA,1609,NA,0,683,4,0,0,0,0,NA,15,3,0,NA,NA,1500,NA,2538609,NA,623,1099,12977,355771,252,49348,33017,682816,NA,215910,1292997,339054,869027,84916,1813631,NA
1,1991Q2,Comerica Bank,Comerica Incorporated,983,Dallas,TX,3041,NA,0,0,504,0,0,27,1319,NA,844,78,71,NA,NA,6830,NA,1614,NA,0,150,5,0,0,27,24,NA,15,37,18,NA,NA,1648,NA,2675569,NA,2083,3802,16408,374081,252,52487,40060,859662,NA,186879,1727086,360854,1196548,169684,1949022,NA
1,1991Q3,Comerica Bank,Comerica Incorporated,983,Dallas,TX,2800,NA,0,0,426,0,0,19,1145,NA,300,681,-58,NA,NA,9372,NA,1029,NA,0,36,7,0,0,0,7,NA,175,29,-18,NA,NA,1680,NA,2673990,NA,2022,3794,13413,375344,247,49083,39928,887452,NA,169725,1759551,382758,1280554,96239,1961943,NA
1,1991Q4,Comerica Bank,Comerica Incorporated,983,Dallas,TX,1547,NA,0,0,179,200,0,103,1587,NA,1567,68,14,NA,NA,10352,NA,547,NA,0,25,9,8,0,0,182,NA,74,17,39,NA,NA,1614,NA,2695269,NA,1633,3805,20406,418008,4,47443,40649,905613,NA,181508,1818118,383142,1332289,102687,2022652,NA
1,1992Q1,Comerica Bank,Comerica Incorporated,983,Dallas,TX,3044,NA,0,0,0,0,0,0,600,NA,120,34,161,NA,NA,9696,NA,431,NA,0,11,3,0,0,21,26,NA,81,0,5,NA,NA,1415,NA,2703866,NA,7118,3757,24954,474546,0,44387,39480,934887,NA,206501,1800768,369321,1330485,100962,1997528,NA
1,1992Q2,Comerica Bank,Comerica Incorporated,983,Dallas,TX,1840,NA,0,0,0,0,0,0,380,NA,1317,67,257,NA,NA,9804,NA,1000,NA,0,19,13,1,0,0,11,NA,206,12,18,NA,NA,1639,NA,2867061,NA,7586,3881,19056,405624,0,41209,37851,936824,NA,203040,1772198,359113,1307388,105697,2033167,NA
1,1992Q3,Comerica Bank,Comerica Incorporated,983,Dallas,TX,8586,NA,0,0,0,0,219,0,258,NA,1350,-17,0,NA,NA,10844,NA,446,NA,0,6,14,53,63,3,31,NA,28,1,199,NA,NA,2841,NA,5601250,NA,8264,16744,147388,988875,195295,70569,90068,1476085,NA,414442,2789385,507764,2160720,120901,2728338,NA
1,1992Q4,Comerica Bank,Comerica Incorporated,983,Dallas,TX,4636,NA,0,67,0,0,95,50,1000,NA,0,99,340,NA,NA,16473,NA,3469,NA,0,6,140,1,35,2,164,NA,422,0,67,NA,NA,871,NA,5988882,NA,9848,22051,204461,887282,166365,234151,87700,1699960,NA,299023,2649920,479293,2050989,119638,2565701,NA
1,1993Q1,Comerica Bank,Comerica Incorporated,983,Dallas,TX,7178,NA,0,210,71,0,98,0,3241,NA,0,32,23,NA,NA,10200,NA,2493,NA,0,38,10,0,8,0,10,NA,18,42,1,NA,NA,2377,NA,6600120,NA,3412,25984,110085,364837,195976,101772,80104,1705416,NA,363171,2506861,475118,1914162,117581,2576511,NA
1,1993Q2,Comerica Bank,Comerica Incorporated,983,Dallas,TX,4858,NA,0,0,120,300,93,88,3993,NA,616,727,0,NA,NA,9838,NA,1344,NA,0,17,59,206,1,0,224,NA,27,320,0,NA,NA,2675,NA,6575700,NA,3495,19972,151109,613974,198193,75321,73460,1756154,NA,328001,2520295,457977,1940862,121456,2406967,NA
1,1993Q3,Comerica Bank,Comerica Incorporated,983,Dallas,TX,5817,NA,175,11,0,14,52,0,5472,NA,50,416,14,NA,NA,8279,NA,5645,NA,0,75,46,32,5,0,70,NA,-7,32,2,NA,NA,2601,NA,6592295,NA,5189,21029,132891,651152,198090,70039,71580,1770768,NA,313703,2545042,452614,1958558,133870,2442929,NA
1,1993Q4,Comerica Bank,Comerica Incorporated,983,Dallas,TX,6575,NA,0,0,0,83,34,0,4825,NA,0,502,51,NA,NA,10726,NA,3471,NA,0,10,0,2,21,3,511,NA,34,137,0,NA,NA,2510,NA,6837942,NA,5199,24322,96230,535502,209040,68643,65140,1848454,NA,295161,2583025,428467,2015983,138575,2414399,NA
1,1994Q1,Comerica Bank,Comerica Incorporated,983,Dallas,TX,2746,NA,0,0,0,500,55,0,2171,NA,0,21,0,NA,NA,7646,NA,2979,NA,0,0,0,3,0,0,583,NA,36,46,3,NA,NA,2627,NA,6975921,NA,4849,30575,110258,470788,204063,69190,60443,1898576,NA,286611,2649299,419280,2084480,145539,2358475,NA
1,1994Q2,Comerica Bank,Comerica Incorporated,983,Dallas,TX,2774,NA,0,0,0,500,81,0,4882,NA,0,212,24,NA,NA,6607,NA,2233,NA,0,1,0,3,0,0,458,NA,36,151,1,NA,NA,2907,NA,7226246,NA,5357,24962,63628,460564,223573,65542,56024,1960572,NA,312399,2592623,415389,2010043,167191,2423742,NA
1,1994Q3,Comerica Bank,Comerica Incorporated,983,Dallas,TX,2353,NA,150,0,0,250,3,0,2744,NA,150,212,0,NA,NA,6550,NA,1483,NA,0,1,0,1,0,0,2475,NA,5,157,7,NA,NA,2647,NA,7156275,NA,4953,27001,56174,407058,223657,58764,56637,2021193,NA,238662,2656416,418982,2051266,186168,2563005,NA
1,1994Q4,Comerica Bank,Comerica Incorporated,983,Dallas,TX,2055,NA,0,0,0,70,25,0,3994,NA,20,191,0,NA,NA,7784,NA,2336,NA,0,1,0,7,0,0,1231,NA,70,62,1,NA,NA,2301,NA,7786017,NA,4800,31278,74267,443907,258752,76891,62659,2167224,NA,182611,2812057,423990,2182439,205628,2814544,NA
1,1995Q1,Comerica Bank,Comerica Incorporated,983,Dallas,TX,2125,NA,0,0,0,236,2,0,938,NA,108,307,0,NA,NA,7330,NA,2777,NA,0,140,0,50,0,0,2413,NA,0,166,0,NA,NA,2474,NA,8141205,NA,4713,36928,128797,403262,265606,73531,57243,2259060,NA,212184,2825117,420734,2190803,213580,2969163,NA
1,1995Q2,Comerica Bank,Comerica Incorporated,983,Dallas,TX,3824,NA,0,0,0,0,35,0,1682,NA,282,362,25,NA,NA,8864,NA,2548,NA,0,0,0,57,0,0,1813,NA,3,248,3,NA,NA,2440,NA,8401762,NA,4650,26526,125249,469654,274740,71296,53133,2332560,NA,219387,2933351,428565,2277233,227553,3169567,NA
1,1995Q3,Comerica Bank,Comerica Incorporated,983,Dallas,TX,5990,NA,0,0,0,0,65,0,2082,NA,40,166,46,NA,NA,16784,NA,6154,NA,0,0,0,49,0,0,547,NA,3,140,0,NA,NA,2256,NA,8312037,NA,4272,28362,119840,531121,305524,69427,41238,2415378,NA,253919,2877029,428868,2215342,232819,3282743,NA
1,1995Q4,Comerica Bank,Comerica Incorporated,983,Dallas,TX,5446,NA,0,0,0,94,1,0,225,NA,0,440,61,NA,NA,26452,NA,3511,NA,0,52,0,92,1,0,535,NA,40,80,0,NA,NA,2149,NA,8343562,NA,3987,31177,140851,542228,329940,52026,32731,2551794,NA,284289,2758300,429350,2086453,242497,3150174,NA
